PCON19CD,PCON19NM,Region
E14000684,Eastbourne,South East
E14000964,St Ives,South West
E14001037,Westmorland and Lonsdale,North West
E14000786,Lewes,South East
E14001026,Wells,South West
E14000738,Hazel Grove,North West
E14000547,Bath,South West
E14001060,Yeovil,South West
E14000988,Taunton Deane,South West
E14000837,North Cornwall,South West
E14000795,"Liverpool, Wavertree",North West
E14000838,North Devon,South West
E14000848,North Norfolk,East of England
E14000994,Thornbury and Yate,South West
E14000999,Torbay,South West
E14000635,Chippenham,South West
E14000685,Eastleigh,South East
E14000630,Cheltenham,South West
E14001001,Totnes,South West
E14001031,West Dorset,South West
E14000627,Cheadle,North West
E14000815,Mid Dorset and North Poole,South West
E14000960,St Albans,East of England
E14000562,"Birmingham, Hall Green",West Midlands
E14000835,Newton Abbot,South West
E14000587,Bradford East,Yorkshire and The Humber
E14000730,Harrogate and Knaresborough,Yorkshire and The Humber
E14000932,Somerton and Frome,South West
E14000874,Oxford West and Abingdon,South East
E14000564,"Birmingham, Ladywood",West Midlands
E14000808,"Manchester, Gorton",North West
E14000708,Garston and Halewood,North West
E14001046,Witney,South East
E14000581,Bootle,North West
E14000830,Newbury,South East
E14000901,Romsey and Southampton North,South East
E14000937,South East Cambridgeshire,East of England
E14000568,"Birmingham, Yardley",West Midlands
