WD23NM,PD_ID,PD_Name,Total,Contacts_2024,Canvassed_2024,Contacts_GE,Canvassed_GE,Lib Dem,Potential LD,Tory,Potential Tory,Labour,Potential Labour,Green,Potential Green,Others,Unknown,Supporters,Switch Europe,Switch,Squeeze,Stay at home,Switch+,Squeeze+,Stay at Home+,Unknown
Watchfield and Shrivenham,TTJ,1 W&S TTJ (Longcot),439,2,0,0,0,6,0,1,1,0,0,0,0,0,431,6,78,1,0,1,338,0,13,2
Watchfield and Shrivenham,TTK,1 W&S TTK (Shrivenham),"2,674",821,324,301,301,176,27,56,21,14,12,1,3,5,2359,176,576,29,48,57,1696,4,64,24
Watchfield and Shrivenham,TTL,1 W&S TTL (Watchfield),"1,399",217,63,3,3,38,4,12,1,5,1,0,0,0,1338,38,442,2,9,11,835,20,0,42
Witney Central,JD,2 WitC JD1 (Wit Central),"1,308",195,88,53,53,99,18,53,16,57,32,5,1,8,1019,96,49,26,99,69,875,75,16,3
Witney Central,JD2,2 WitC JD2 (Town Center),"2,921",1499,480,479,479,345,82,157,54,98,48,1,3,11,2122,340,192,66,200,171,1652,222,36,42
Witney East,JE,2 WitE JE1 (Wit East 1),879,166,60,60,60,61,13,48,15,13,11,0,2,1,715,61,127,21,33,46,536,20,27,8
Witney East,JE2,2 WitE JE2 (Wit East 2),"1,660",603,228,228,197,166,58,130,40,85,43,4,3,8,1123,165,120,49,170,145,789,177,36,9
Witney East,JF,2 WitE JF1 (Wit East 3),911,474,168,168,164,96,25,38,13,25,22,0,0,5,687,96,46,16,65,42,623,15,3,5
Witney East,JF2,2 WitE JF2 (Wit East 4),"2,147",1345,400,389,389,271,54,97,40,32,43,3,6,6,1595,268,414,42,119,94,914,246,14,36
Witney North,JG,2 WitN JG (Wit North 1),"1,621",1342,701,153,151,291,185,203,105,39,56,18,38,15,671,287,140,163,261,232,499,6,18,15
Witney North,JH,2 WitN JH (Wit North 2),"1,339",1166,625,229,229,254,97,134,106,47,38,5,16,23,619,245,58,127,166,162,481,86,9,5
Witney South,JI,2 WitS JI (Burwell),"1,818",1415,589,568,568,247,70,94,45,44,53,0,2,15,1248,245,47,67,138,108,990,136,77,10
Witney South,JJ,2 WitS JJ (Wit South),"2,440",687,258,212,210,185,64,106,45,65,46,3,8,10,1908,181,102,54,164,115,1472,328,4,20
Witney South,JK,2 WitS JK (Burwell Mead),307,38,12,1,1,14,4,22,2,6,4,0,3,0,252,14,33,1,17,19,200,20,3,0
Witney West,JL,2 WitW JL (Thorney Leys),977,597,172,7,7,108,31,120,47,20,30,2,0,1,618,108,60,43,70,124,536,10,15,11
Witney West,JM,2 WitW JM (Deer Park),"3,701",2758,"1,051",236,175,553,150,321,180,86,99,3,4,11,2294,547,529,191,273,321,1723,56,30,31
Carterton North East,FM3,3 CNE FM3 (Central),"1,499",84,24,24,24,89,16,54,28,10,11,4,0,1,1286,89,120,27,37,50,833,286,33,24
Carterton North East,FM4,3 CNE FM4 (ShiltonP),"2,471",796,205,205,169,309,79,143,80,15,26,2,1,12,1804,308,357,89,89,154,1191,229,22,32
